type,id,Name,Age,Notes-age,Gender,Location,County or unitary authority,Country or english region,dod_day,dod_month,dod_year,Notes-dod,blurb,Died on streets,In hospital,Temp accomm,Recording by,reporting_by,reporting_link,Other Links,img_file,img_credit,notes
text1,dh0424,Mikey Nicell,45,,M,Cambridge,Cambridgeshire,East of England,7,10,2018,,"This man was a regular attendee at Wintercomfort, in Cambridge. Staff there said he will be greatly missed.",x,,,,a local charity,,,,,
text1,dh0515,David Cooper  ,35,,M,London,London,London,5,10,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,x,,collected for memorial service by national charity,,,,,
text2,dh0532,Unknown,51,,Unknown,Glasgow,Glasgow,Scotland,30,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0412,Unknown,44,,Unknown,Stirling,Stirling,Scotland,27,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0531,Unknown,32,,Unknown,Glasgow,Glasgow,Scotland,26,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0507,Anonymous,57,,M,London,London,London,25,11,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
text2,dh0530,Unknown,27,,Unknown,Glasgow,Glasgow,Scotland,25,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
photo,dh0336,Andrew Davie,39,,M,Blackburn,Blackburn with Darwen,North West,24,11,2018,,"Andrew's body was found outside Boots on the Townsmoor Retail Park, Blackburn. Originally from Scotland, Andrew was known for playing his ukulele or recorder around town. A passerby that found the body told the local news: “He had no gloves on; he must’ve been so cold. I really do think he perished from the weather. I suspect he had been out there all night.""",x,,,,the Lancashire Telegraph,https://www.lancashiretelegraph.co.uk/news/17261577.police-appeal-to-find-family-of-homeless-andrew-davie-who-died-on-saturday/,https://www.lancashiretelegraph.co.uk/news/17254424.tributes-are-paid-to-man-found-dead-outside-boots-in-blackburn/,img/andrew-davie.jpg,the Lancashire Telegraph,
text1,dh0335,Jay Hopper,,,M,Bristol,Bristol,South West,23,11,2018,,"Emergency services were called to a homeless hostel in Bristol, but paramedics failed to revive Jay, who was staying there.",,,x,,the Bristol Post,https://www.bristolpost.co.uk/news/bristol-news/homeless-man-dies-jamaica-street-2263506,https://www.bristolpost.co.uk/news/bristol-news/homeless-man-who-died-jamaica-2311175,,,
text2,dh0529,Unknown,29,,Unknown,Glasgow,Glasgow,Scotland,21,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0508,Anonymous,59,,M,London,London,London,18,11,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
text2,dh0509,Anonymous,58,,M,London,London,London,17,11,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
text1,dh0408,Gari Farrell,23,,M,Bath,Bath & North East Somerset,South West,16,11,2018,,Gari had been staying in supported housing shelter when he died.,,,x,,Somerset Live,https://www.somersetlive.co.uk/news/who-were-13-former-homeless-2512291,,,,
text2,dh0510,Anonymous,38,,M,London,London,London,15,11,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,x,,,,the CHAIN database,,,,,
text2,dh0518,Unknown,57,,Unknown,Renfrewshire,Renfrewshire,Scotland,15,11,2018,Between 1 Oct 2017 to 2 Nov 2018,We found out about this death through FOI and no more is known at this time.,,,x,,a FOI request,,,,,
text1,dh0334,SC,,,M,Northampton,Northamptonshire,East Midlands,14,11,2018,,SC died in hospital of liver failure. He had previously been suffering from sepsis. He had slept rough for several years.,,x,,,a local charity,,,,,
text2,dh0528,Unknown,46,,Unknown,Glasgow,Glasgow,Scotland,14,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0498,Anonymous,56,,M,Brighton,Brighton and Hove,South East,11,11,2018,,He was found dead in his homeless hostel room.,,,x,,a local charity,,,,,
text2,dh0511,Anonymous,52,,M,London,London,London,11,11,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,x,,,,the CHAIN database,,,,,
text1,dh0333,Joanne Jones,44,,F,Bath,Bath and North East Somerset,South West,10,11,2018,,"Joanne was the second person to die in a homeless hostel in Bath, in a matter of weeks. She had been receiving support there for some time and her death was described as a ""tragedy"". ",,,x,,Somerset Live,https://www.somersetlive.co.uk/in-your-area/woman-who-died-bath-homeless-2218197,,,,
text1,dh0332,Edward Hinds,22,,M,Peterborough,Peterborough,East of England,9,11,2018,,Edward was found on fire outside the YMCA in Peterborough. He was taken to a specialist burns unit but died of his injuries.,,,,,EDP24,https://www.edp24.co.uk/news/inquest-opens-into-death-of-edward-hinds-1-5801399,,,,
text1,dh0481,Dimitri Sabev,58,,M,London,London,London,5,11,2018,Died in year up to November 2018,Dimtri was a Big Issue vendor.,,,,,collected for memorial service by national charity,,,,,
text2,dh0527,Unknown,53,,Unknown,Glasgow,Glasgow,Scotland,4,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
photo,dh0331,Sodhi Singh,50,,M,Ilford,Redbridge,London,3,11,2018,,"Sodhi, originally from India, died in hospital after being admitted the day before. A father, Sodhi had been sleeping rough for more than a decade. His cousin, who lives in Watford told local press: “Had we known we would have helped without a second thought. “Sodhi was a very kind-hearted man, always making people smile, he was everyone’s friend. Sodhi never had a bad word to say about anyone and neither did anyone about him.""",,x,,,the Ilford Recorder,https://www.ilfordrecorder.co.uk/news/sodhi-singh-dead-rough-sleeping-ilford-1-5764203,,img/sodhi-singh.jpg,Anja King,
text1,dh0416,Roxanne Forward,25,,F,Taunton,Somerset,South West,,11,2018,,,x,,,,a local charity,,,,,
text2,dh0497,Anonymous,53,,M,Brighton,Brighton and Hove,South East,,11,2018,,This man was living in a homeless hostel. He had severe COPD.,,,x,,a local charity,,,,,
text2,dh0522,Unknown,,,Unknown,Edinburgh,Edinburgh,Scotland,,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0523,Unknown,,,Unknown,Edinburgh,Edinburgh,Scotland,,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0524,Unknown,,,Unknown,Edinburgh,Edinburgh,Scotland,,11,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0409,Unknown,,,M,Bristol,Bristol,South West,31,12,2018,,A man died suddenly in a homeless hostel on News Year's Eve. ,,,x,,the Bristol Post,https://www.bristolpost.co.uk/news/bristol-news/man-dies-suddenly-logos-house-2383008,,,,
text1,dh0426,Adam Langwell,25,,M,Whitley Bay,Northumberland,North East,29,12,2018,,Adam was living in a hostel. He was found dead on the shore at Whitley Bay. ,,,x,,a local charity,,,,,
text1,dh0417,Craig Hornby,48,,M,Blackburn,Blackburn with Darwen,North West,28,12,2018,,"Craig was found collapsed on the streets and taken to hospital. He had suffered a cardiac arrest and was in hospital for a month until he died. Despite an appeal by the police, nobody visited him before his passing.",,x,,,a local charity,,,,,
text2,dh0539,Unknown,53,,Unknown,Glasgow,Glasgow,Scotland,27,12,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0410,Tony Lawless,51,,M,Manchester,Manchester,North West,26,12,2018,,Tony was found dead in Ancoats canal. He had been sleeping rough and was found in the canal hours after leaving hospital.,,,,,the Manchester Evening News,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/man-found-dead-ancoats-canal-15596867?fbclid=IwAR2I1sdgsPATaCWhjV7-Up543X73ingoWZzNiJPPeX0PMIie-7ZuK6LHVGg,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/tony-lawless-dead-harpurhey-market-15597967?fbclid=IwAR1HinM8-rARNNW0lnbbdEMMzuGYfgQRqGGUMcbfz8WReI6NTmhVMVlyM-s,,,
text1,dh0407,Joby Sparrey,,40s,M,Malvern,Worcestershire,West Midlands,25,12,2018,,"Joby was sleeping rough and was found death on Christmas day. Locals described him as ""a real gent"". Malvern Hills District Council (MHDC) said Joby was known to its services and had been offered ""extensive support"".",x,,,,Mirror,https://www.mirror.co.uk/news/uk-news/rough-sleeper-found-dead-wealthy-13803020,,,,
text2,dh0502,Anonymous,60,,M,Brighton,Brighton and Hove,South East,24,12,2018,,Died in hospital. Was living in an Emmaus in Brighton.,,x,,,a local charity,,,,,
text1,dh0425,Sebastien Bielinski,,,M,Cambridge,Cambridgeshire,East of England,23,12,2018,,"This man was a regular attendee at Wintercomfort, in Cambridge. Staff there said he will be greatly missed.",x,,,,a local charity,,,,,
text2,dh0538,Unknown,37,,Unknown,Glasgow,Glasgow,Scotland,20,12,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0504,Anonymous,36,,M,London,London,London,19,12,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,x,,,the CHAIN database,,,,,
text1,dh0411,Gyula Remes,43,,M,Westminster,Westminster,London,18,12,2018,,"Gyula, originally from Hungary, collapsed outside the Houses of Parliament and later died in hospital. He was working as a kitchen assistant at Charing Cross station but sleeping rough.",,,,,,,,,,
text2,dh0537,Unknown,39,,Unknown,Glasgow,Glasgow,Scotland,18,12,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0536,Unknown,47,,Unknown,Glasgow,Glasgow,Scotland,17,12,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0572,Dale Carter,46,,M,St Austell,St Austell,St Austell,17,12,2018,,"Dale Carter, who had served in the Royal Navy, died after being ejected from Cosgarne Hall support accommodation in St Austell following an altercation with another resident. Cornwall Council is considering changing its policy concerning accommodating vulnerable people following Dale's death.",,,x,,Cornwall Live ,https://www.cornwalllive.com/news/cornwall-news/cornwall-council-changes-policy-following-2817235,,,,
text1,dh0577,Mark Dickinson,54,,M,Taunton,Taunton,Taunton,17,12,2018,,"Mark was found dead by a staff member at Lindley House, East Reach following a drug overdose. An inquest heard that Mark had previously engaged with Somerset Drugs and Alcohol Service in a bid to tackle his problems but was suspended from the service for six months after he displayed anger towards staff.",,,x,,Somerset County Gazette ,https://www.somersetcountygazette.co.uk/news/17627000.man-found-dead-at-taunton-homeless-hostel-overdosed-on-drugs-inquest-heard/,,,,
text2,dh0535,Unknown,46,,Unknown,Glasgow,Glasgow,Scotland,16,12,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0505,Anonymous,44,,M,London,London,London,14,12,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
photo,dh0413,Peter Coker,59,,M,Burton,Staffordshire,West Midlands,11,12,2018,,"""Rucksack Pete"", as he was know, was found collapsed in a field. Floral tributes were laid on a bench in the town centre.",,x,,,Derbyshire Live,https://www.derbytelegraph.co.uk/burton/peter-coker-homeless-death-burton-2340915,,img/peter-coker.jpg,Derbyshire Live,
text2,dh0338,Unknown,50,,M,Cardiff,Cardiff,Wales,10,12,2018,,"A man died on St Mary Street. He was sleeping rough despite having accommodation in the city, according to the local council. ",,x,,,Wales Online,https://www.walesonline.co.uk/news/wales-news/man-dies-cardiffs-st-mary-15538611,https://www.bbc.co.uk/news/uk-wales-46558698,,,
text2,dh0534,Unknown,32,,Unknown,Glasgow,Glasgow,Scotland,9,12,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0434,Czeslaw Mazak,36,,M,Oxford,Oxfordshire,South East,6,12,2018,,"Czeslaw, who was Polish, would often sleep rough in Oxford's city centre, sometimes without a tent. ",x,,,,the Guardian,https://www.theguardian.com/uk-news/2019/jan/31/spike-in-deaths-of-oxford-rough-sleepers-rocks-community-homeless?CMP=Share_iOSApp_Other,,,,
text2,dh0506,Anonymous,43,,M,London,London,London,6,12,2018,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
text1,dh0568,Mark South,53,,M,Hull,Hull,Hull,6,12,2018,,"Mark South, 53, of no fixed address, died in an armchair at his friend's home. A family member said """"Mark was my little shadow growing up."" Mark died of alcohol toxicity after a long battle with addiction.",,,x,,Hull Daily Mail,www.hulldailymail.co.uk/news/hull-east-yorkshire-news/tragedy-homeless-hull-man-found-2789424,,,,
photo,dh0337,Lee Jenkinson,,,M,Leeds,Leeds,Yorkshire and the Humber,4,12,2018,,"Lee died in hospital with family members at his bedside. He had been sleeping rough for a long time, despite having a council flat. Charity Simon on the Streets said: ""He was a lovely man, well known to services and the public alike. RIP.""",,x,,,Yorkshire Post,https://www.yorkshireeveningpost.co.uk/news/lee-jenkinson-death-homeless-man-was-given-a-house-tenancy-by-leeds-city-council-1-9487070,https://www.yorkshireeveningpost.co.uk/news/shock-and-sadness-as-tributes-are-paid-to-homeless-man-who-died-in-leeds-1-9478664,img/lee-jenkinson.jpg,the Yorkshire Post,
text1,dh0418,Carl Lancelot,42,,M,Bournemouth,Bournemouth,South West,4,12,2018,,"Carl was 'very ill and shaky' in the day before he passed away, according to a friend that knew him. He was found outside a club in Bournemouth.",x,,,,Bournemouth Echo ,https://www.bournemouthecho.co.uk/news/17310573.friends-of-homeless-man-meet-to-honour-his-memory/,,,,
text2,dh0533,Unknown,37,,Unknown,Glasgow,Glasgow,Scotland,3,12,2018,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0433,Aron Gibson,37,,M,Oxford,Oxfordshire,South East,2,12,2018,,"Aron died in a MacDonalds. It was reported that he had been trying to inject drugs when he died. ""Aron was buried and no one knew it. It was like he was John Doe. I would have liked to have gone,"" a friend told the Guardian.",,,,,the Guardian,https://www.theguardian.com/uk-news/2019/jan/31/spike-in-deaths-of-oxford-rough-sleepers-rocks-community-homeless?CMP=Share_iOSApp_Other,,,,
text1,dh0495,Darius Kojak,,20s,M,Ipswich,Suffolk,South East,,12,2018,,Darius was accessing local homelessness services when he died. He was believed to have been sofa surfing.,,,x,,a local charity,,,,,
text1,dh0496,Patrick Ward,,50s,M,Ipswich,Suffolk,South East,,12,2018,,Patrick was getting help from a local homelessness charity.,x,,,,a local charity,,,,,
text1,dh0339,Simon Lacey,,40s,M,Canterbury,Kent,South East,,,2018,July or August,Simon Lacey had been suffering from a long-term heart condition and died in hospital.,,x,,,Kent Online,http://www.kentonline.co.uk/canterbury/news/spike-in-deaths-among-citys-homeless-187386/,http://www.kmannouncements.co.uk/group/view/4503467/martin-ripley,,,
text1,dh0340,Jason Cox,45,,M,Canterbury,Kent,South East,,,2018,,,,,,,Kent Online,http://www.kentonline.co.uk/canterbury/news/spike-in-deaths-among-citys-homeless-187386/,,,,
text2,dh0341,Unknown,,,Unknown,Newhaven,East Sussex,South East,,,2018,Between 1 Apr 2018 and 22 Aug 2018,Died in temporary accommodation in Kendal Court.,,,x,,the Argus,https://www.theargus.co.uk/news/16602236.five-deaths-in-two-months-in-kendal-court-in-newhaven/,,,,
text2,dh0342,Unknown,,,Unknown,Newhaven,East Sussex,South East,,,2018,Between 1 Apr 2018 and 22 Aug 2018,Died in temporary accommodation in Kendal Court.,,,x,,the Argus,https://www.theargus.co.uk/news/16602236.five-deaths-in-two-months-in-kendal-court-in-newhaven/,,,,
text2,dh0343,Unknown,,,Unknown,Newhaven,East Sussex,South East,,,2018,Between 1 Apr 2018 and 22 Aug 2018,Died in temporary accommodation in Kendal Court.,,,x,,the Argus,https://www.theargus.co.uk/news/16602236.five-deaths-in-two-months-in-kendal-court-in-newhaven/,,,,
text2,dh0344,Unknown,,,Unknown,Newhaven,East Sussex,South East,,,2018,Between 1 Apr 2018 and 22 Aug 2018,Died in temporary accommodation in Kendal Court.,,,x,,the Argus,https://www.theargus.co.uk/news/16602236.five-deaths-in-two-months-in-kendal-court-in-newhaven/,,,,
text1,dh0345,Michael Hill,,,M,Kidderminster,Worcestershire,West Midlands,,,2018,,"Michael Hill, age unknown, died in Kidderminster’s The Lion Hotel. His body was discovered in his room on 6 July but may have lay there for some time. Worcestershire’s coroner is investigating the circumstances and cause of his death.",,,x,,a Bureau Local network member,,,,,
text1,dh0348,Andrew Petty,,,M,London,,London,,,2018,,,,,,,a local charity,,,,,
text1,dh0349,Gary Young,,,M,London,,London,,,2018,,,,,,,a local charity,,,,,
text1,dh0350,Wieslaw Pawelek,58,,M,London,,London,,,2018,,"Wieslaw was Polish and was accessing homelessness services in London,",,,,,a local charity,,,,,
text1,dh0351,Konrad Bratek,32,,M,London,,London,,,2018,,"Konrad, who was Polish, was just 32 when he died.",,,,,a local charity,,,,,
text1,dh0352,Jaroslaw Andrzej,63,,M,London,,London,,,2018,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,a local charity,,,,,
text1,dh0354,Cosmin Petrescu,,,M,London,,London,,,2018,,,,,,,a local charity,,,,,
text1,dh0356,John Gillespie,62,,M,London,,London,,,2018,,John was accessing homelessness services in London before he died.,,,,,a local charity,,,,,
text1,dh0357,Piotr Krowka,,,M,London,,London,,,2018,,,,,,,a local charity,,,,,
text1,dh0549,Stephen Mitchel,,,M,Felixstowe,Kent,South East,,,2018,Summer,Stephen was accessing local homelessness services when he died.,,,,,a local charity,,,,,
text1,dh0590,Lee Shields,46,,M,Liverpool,Liverpool,Liverpool,,,2018,,"Lee's body was spotted by two anglers fishing off Fort Perch Rock. He was known to be sleeping rough at the time of his death and had had struggles with his mental health and drug addiction. The coroner ruled that Lee had died due to drowning , toxicity and immersion in very cold water.",x,,,,the Liverpool Echo ,https://www.liverpoolecho.co.uk/news/liverpool-news/homeless-man-trying-turn-life-16388913,,,,
text2,dh0503,Anonymous,54,,M,Brighton,Brighton and Hove,South East,29,1,2019,,This man was found in his emergency accommodation room.,,,x,,a local charity,,,,,
text1,dh0431,Otis Galloway,50,,M,Oxford,Oxfordshire,South East,28,1,2019,,Otis was a bricklayer. He found dead in a homeless hostel.,,,x,,the Guardian,https://www.theguardian.com/uk-news/2019/jan/31/spike-in-deaths-of-oxford-rough-sleepers-rocks-community-homeless?CMP=Share_iOSApp_Other,,,,
text1,dh0430,Kane Walker,31,,M,Birmingham,Birmingham,West Midlands,27,1,2019,,"Kane was found under Smallbrook Queensway, an area close to Birmingham's Bullring centre. He was known to outreach services who had been supporting him for around four years. ""He was a good guy and a pleasure for the team to meet on our outreach,"" said a local charity worker.",x,,,,Birmingham Live,https://www.birminghammail.co.uk/news/midlands-news/homeless-man-found-dead-near-15749858,,,,
text2,dh0499,Anonymous,40,,M,London,London,London,25,1,2019,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
text2,dh0519,Unknown,40,,Unknown,Renfrewshire,Renfrewshire,Scotland,25,1,2019,Between 1 Oct 2017 to 2 Nov 2018,We found out about this death through FOI and no more is known at this time.,,,x,,a FOI request,,,,,
text1,dh0427,Thomas Pulham,28,,M,Stoke-on-Trent,Stoke-on-Trent,West Midlands,23,1,2019,,"Thomas, who was sleeping rough was found dead on the streets. He had recently been given a tent and sleeping bag by a local charity after turning up with only the clothes he was wearing to his name.",x,,,,the BBC,https://www.bbc.co.uk/news/uk-england-stoke-staffordshire-46972678,https://www.stokesentinel.co.uk/news/stoke-on-trent-news/he-whole-life-ahead-him-2473011,,,
photo,dh0429,Alex Smith,37,,M,Hull,Kingston upon Hull,Yorkshire and the Humber,23,1,2019,,"Alex died while staying in a homeless hostel. He had slept rough in the city for years. A hostel worker told the local press: ""Alex had only been with us for around a week and had arrived at The Crossings in very poor health, having slept rough for several years.""",,,x,,the Hull Daily Mail,https://www.hulldailymail.co.uk/news/hull-east-yorkshire-news/homeless-man-died-hostel-statement-2476458,,img/alex-smith.jpg,the Hull Daily Mail,
text2,dh0548,Unknown,30,,Unknown,Glasgow,Glasgow,Scotland,23,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0428,Unknown,26,,F,Walthamstow,Waltham Forest,London,22,1,2019,,A woman who was living in a YMCA hostel died after being hit by a police car when she was on a pedestrian crossing. The lady was a refugee from Eritrea.,,,x,,the BBC,https://www.bbc.co.uk/news/uk-england-london-46970831,,,,
text1,dh0432,Sharron Maasz,44,,F,Oxford,Oxfordshire,South East,21,1,2019,,Sharron died in a hostel. She had previously slept rough. Sharron was a mother and grandmother.,,,x,,the Guardian,https://www.theguardian.com/uk-news/2019/jan/31/spike-in-deaths-of-oxford-rough-sleepers-rocks-community-homeless?CMP=Share_iOSApp_Other,,,,
text2,dh0547,Unknown,48,,Unknown,Glasgow,Glasgow,Scotland,21,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0546,Unknown,49,,Unknown,Glasgow,Glasgow,Scotland,20,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0420,Unknown,27,,M,Belfast,Belfast,Northern Ireland,18,1,2019,,"A man was found dead in the doorway of a shop. Local news reports say is understood he was from the Dublin area and ""that he had been offered accommodation on Thursday evening.""",x,,,,the Belfast Telegraph,https://www.belfasttelegraph.co.uk/news/northern-ireland/belfast-homeless-community-very-distressed-after-death-of-rough-sleeper-in-city-centre-37724713.html,,,,
text2,dh0544,Unknown,28,,Unknown,Glasgow,Glasgow,Scotland,18,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0545,Unknown,28,,Unknown,Glasgow,Glasgow,Scotland,18,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0421,Unknown,,,F,Glasgow,Glasgow,Scotland,17,1,2019,,A woman who was sleeping rough was found dead in the Gallowgate area of Glasgow.,x,,,,the Sunday Post,https://www.sundaypost.com/fp/tributes-paid-as-homeless-woman-found-dead-in-glasgows-gallowgate/,,,,
text1,dh0415,Marian Jan Bulanda,66,,F,Luton,Luton,South East,16,1,2019,,Marian was accessing services from a local homeless charity when she died.,,,,,a local charity,,,,,
text1,dh0607,Unknown,30,,Unknown,Dumfries and Galloway,,Scotland,16,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0542,Unknown,46,,Unknown,Glasgow,Glasgow,Scotland,15,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0500,Anonymous,47,,M,London,London,London,13,1,2019,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
text2,dh0541,Unknown,42,,Unknown,Glasgow,Glasgow,Scotland,13,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0501,Anonymous,51,,M,London,London,London,11,1,2019,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,x,,,the CHAIN database,,,,,
text1,dh0415,Aimee Teese,30,,F,Liverpool,Liverpool,North West,8,1,2019,,"Aimee was found dead in a tent in Liverpool. A homeless outreach worker who knew Aimee said """"I'm gutted she has died like this - alone in a tent in our city.""",x,,,,the Liverpool Echo,https://www.liverpoolecho.co.uk/news/liverpool-news/body-30-year-old-woman-15648620?fbclid=IwAR3TQxeIY0L6dk8rpgl9zY3-B78xVZlaeX-FDTCgWugWQ2SwFdRoPtaghzg,https://www.liverpoolecho.co.uk/news/liverpool-news/heartbreaking-final-words-homeless-woman-15649627,,,
text2,dh0502,Anonymous,65,,M,London,London,London,8,1,2019,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,,,the CHAIN database,,,,,
text1,dh0664,Unknown,27,,Unknown,South Lanarkshire,South Lanarkshire,Scotland,8,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text2,dh0503,Anonymous,46,,F,London,London,London,4,1,2019,,This man had been accessing homelessness support services in London before he died. The death was recorded on the London-wide CHAIN database.,,,x,,the CHAIN database,,,,,
text2,dh0540,Unknown,59,,Unknown,Glasgow,Glasgow,Scotland,4,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0665,Unknown,49,,Unknown,South Lanarkshire,South Lanarkshire,Scotland,3,1,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0497,Michael Rouse,,40s,M,Felixstowe,Suffolk,South East,2,1,2019,,Michael was sleeping rough when he died.,,,,,a local charity,,,,,
text1,dh0408,Jerica,38,,F,Northampton,Northamptonshire,East Midlands,1,1,2019,,"J, a mum who was sleeping rough in Northampton, died on New Year's Day.",x,,,,a local charity,https://twitter.com/NptonHopeCentre/status/1080078067526176768,https://www.northamptonchron.co.uk/news/mum-aged-38-dies-while-sleeping-rough-in-northampton-1-8755602,,,
text2,dh0411,Unknown,63,,Unknown,East Ayrshire,East Ayreshire,Scotland,1,1,2019,,A person known to the council as homeless died on New Year's Day.,,,,,a FOI request,,,,,
text1,dh0565,Chris O'Sullivan,55,,M,Stevenage,Stevenage,Stevenage,,1,2019,,"Chris was found dead in a tent in January 2019. He was an active and well loved member of the community in Stevenage. More than 70 people attended his funeral. Reverend Ruth Carroll said “Chris regularly alerted community workers about other people in need, and in recent months had given advice to the Salvation Army about setting up their Sunday drop-in, so we rejoice that this legacy lives on.”",x,,,,the Comet ,https://www.thecomet.net/news/funeral-of-stevenage-homeless-man-chris-o-sullivan-1-5999241,,,,
text1,dh0567,Jason Burgess,44,,M,Gravesend,Gravesend,Gravesend,,1,2019,,"Jason was found dead after taking a month's worth of mental health prescription. At the time of his death he was unemployed and sofa surfing. Coroner Roger Hatch recorded a verdict of suicide. A family member said ""Rest in peace Jay, I hope you are happy. I still loved him, he is at peace.""",,,x,,Kent Live,https://www.kentlive.news/news/kent-news/homeless-man-44-who-took-2794396,,,,
text1,dh0612,Unknown,55,,Unknown,Edinburgh,Edinburgh,Scotland,27,2,2019,27-Feb-19,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0511,Daniel Whyte,45,,M,Marks Tey,Essex,South East,26,2,2019,,Daniel was found unresponsive at Marks Tey Station. ,x,,,,the Halstead Gazette,https://www.halsteadgazette.co.uk/news/north_essex_news/17483405.inquest-opens-into-the-death-of-homeless-man-at-marks-tey-station/,,,,
photo,dh0508,Tony Lucas,52,,M,Paignton,Devon,South West,25,2,2019,,"Tony collapsed with an epileptic seizure on his Big Issue pitch in Paignton. The fall led to a series of medical issues and on 25 February, Tony died. Tony had moved out of London afte being caught up in the 7/7 bombings. According to the Big Issue, ""he went missing for three days in the wake of the attack before returning to his family wearing charre clothes."" He then became a much-loved part of the community in Paignton.",,,,,the Big Issue,,,img/tony-lucas.jpg,the Big Issue,
text1,dh0611,Unknown,36,,Unknown,Edinburgh,Edinburgh,Scotland,25,2,2019,25-Feb-19,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0636,Unknown,35,,Unknown,Glasgow,Glasgow,Scotland,25,2,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0635,Unknown,35,,Unknown,Glasgow,Glasgow,Scotland,24,2,2019,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
